"iteration","ASC1","BTime","BCost"
5001,0.8549259332,-0.1113161709,-0.6266834679
5002,0.8665136894,-0.1214456873,-0.6344491153
5003,0.8431423153,-0.1104776799,-0.6458179612
5004,0.8588930598,-0.1283122605,-0.6759067525
5005,0.8441676623,-0.1253086531,-0.6226351696
5006,0.8191673253,-0.1149539183,-0.6456450968
5007,0.8589927292,-0.1224974625,-0.6635106728
5008,0.8707679402,-0.1257688605,-0.6158428583
5009,0.8626334711,-0.1240750923,-0.6493648925
5010,0.8153523492,-0.11686252,-0.6521247531
5011,0.8400029896,-0.1173520664,-0.6491796998
5012,0.8688818986,-0.1173084979,-0.6402450003
5013,0.8595871689,-0.121704635,-0.6524939637
5014,0.8725754975,-0.1251631431,-0.6544164538
5015,0.8375060648,-0.1059559073,-0.6573085617
5016,0.8936637087,-0.1443944464,-0.6671015134
5017,0.8586810999,-0.1223034105,-0.6588605435
5018,0.8957909709,-0.1425677586,-0.6629776134
5019,0.9290485321,-0.1284223363,-0.6346988603
5020,0.8886084949,-0.1573708885,-0.6867494304
5021,0.8570433943,-0.1279338467,-0.689020564
5022,0.9340496736,-0.1551803876,-0.694747607
5023,0.9154976517,-0.1296237161,-0.6816590444
5024,0.9183916756,-0.1477189393,-0.6991497052
5025,0.9206202251,-0.1528437763,-0.6932032353
5026,0.9443439265,-0.1386477594,-0.7072505325
5027,0.9131549337,-0.1445820098,-0.6897049741
5028,0.9357840312,-0.1367532657,-0.7200858009
5029,0.89418134,-0.1524469098,-0.7513340073
5030,0.8793502254,-0.1407995388,-0.7148845269
5031,0.9544473777,-0.1611133117,-0.7085785779
5032,0.9126695481,-0.1582628521,-0.7352158161
5033,0.971078929,-0.1534188727,-0.7301618871
5034,0.9682593903,-0.1666831016,-0.7257904289
5035,0.909440579,-0.1483408227,-0.7100570072
5036,0.9417137758,-0.1685771087,-0.7079632887
5037,0.9860510566,-0.1603826234,-0.7225823902
5038,0.9422622362,-0.1583642281,-0.7141799434
5039,0.8858203089,-0.1441948764,-0.724348256
