"Respondent","RLH","wtp1","price"
1,0.5693911318,2.279622924,-0.5151681857
2,0.6474812825,2.708902842,-0.5123352072
3,0.8471365229,2.616415197,-0.5247450941
4,0.386469,2.287747736,-0.4042744233
5,0.7363737682,2.394629158,-0.541887832
6,0.3583488269,2.408286281,-0.3910018024
7,0.4815773911,2.357163637,-0.4929513512
8,0.806095835,2.540394605,-0.5611379653
9,0.6272769898,2.561163949,-0.5222183836
10,0.6969328897,2.339329778,-0.5389818756
11,0.7094063451,2.78377286,-0.5213364506
12,0.4729667159,2.555939559,-0.4606657982
13,0.4527968363,2.343469427,-0.4651228621
14,0.7192099072,2.620562364,-0.5220552058
15,0.5273390899,2.737285824,-0.4699394949
16,0.3968694573,2.440047784,-0.4096190887
17,0.600241465,2.516018933,-0.5096562619
18,0.6006757658,2.676701817,-0.5006811836
19,0.3325810208,2.5084382,-0.381893086
20,0.7214868964,2.62041428,-0.5531152165
21,0.7644011683,2.620361444,-0.5339110611
22,0.7320255858,2.413117067,-0.532744473
23,0.7807371092,2.445817351,-0.552726799
24,0.7780000399,2.517374624,-0.5528648448
25,0.5531823756,2.490917,-0.5138209758
26,0.3176158278,2.312384604,-0.3703349451
27,0.3184494868,2.464009177,-0.3687429621
28,0.3821351746,2.37595673,-0.4290183378
29,0.4027833174,2.075264419,-0.4637134964
30,0.4549717938,2.371772061,-0.4614775669
31,0.6196700568,2.783083339,-0.5157024923
32,0.5352639137,2.144200092,-0.5155636367
33,0.5277944168,2.188291457,-0.4988697289
34,0.6036144659,2.837662286,-0.4875659428
35,0.3835392903,2.297799586,-0.406210418
36,0.3503241401,2.488156175,-0.3906822366
37,0.4524201788,2.522695533,-0.4432555679
38,0.669367811,2.759948076,-0.5128115208
39,0.5710402783,2.45275773,-0.5142389501
40,0.6329128818,2.680099637,-0.497636637
41,0.4371541789,2.317811626,-0.4505985095
42,0.6161245802,2.726784254,-0.522716323
43,0.4743632614,2.652035826,-0.4542283256
44,0.7096222832,2.329159302,-0.5422609083
45,0.4800843532,2.580686104,-0.4581469168
46,0.4922350509,2.641019863,-0.4442885542
47,0.5345072519,2.190627968,-0.4946470797
48,0.732741177,2.467453138,-0.5353446945
49,0.5544127038,2.387761067,-0.4866541675
50,0.6542181934,2.563722226,-0.5319441383
51,0.7587709483,2.488144149,-0.5539012303
52,0.6167790409,2.300968191,-0.5146509026
53,0.5145677847,2.43403003,-0.4804009174
54,0.849186466,2.612961611,-0.5381911988
55,0.4885848647,2.245049533,-0.4793268024
56,0.3681158099,2.593523233,-0.4149546366
57,0.7088927097,2.60071692,-0.5281183181
58,0.6771044272,2.307291675,-0.5572865999
59,0.4294662895,2.822035812,-0.4188273596
60,0.794486481,2.519215406,-0.5487325485
61,0.4730961279,2.472723112,-0.4590631017
62,0.6254856032,2.559192772,-0.4941089155
63,0.4306917748,2.647319994,-0.4370891884
64,0.4443748011,2.660313149,-0.4173399019
65,0.5981461758,2.385575918,-0.5279159586
66,0.7526754733,2.639509907,-0.5447768219
67,0.7606264205,2.635142897,-0.5324904714
68,0.8236003175,2.551689832,-0.541635698
69,0.6664019085,2.534034494,-0.510433351
70,0.7677085831,2.476221242,-0.5324510035
71,0.4442983748,2.178295917,-0.436036909
72,0.3390801444,2.282826102,-0.414773356
73,0.6423989748,2.134662489,-0.527282406
74,0.515127867,2.369558312,-0.4814932811
75,0.3977110368,2.077719436,-0.4532537483
76,0.6643474402,2.629039566,-0.5175641638
77,0.4661086321,2.40087397,-0.4779650663
78,0.4892413722,2.137692413,-0.4871766922
79,0.5591395456,2.357569846,-0.5053451524
80,0.4054488627,2.4531097,-0.4235207377
81,0.6351993234,2.365827879,-0.5079074684
82,0.4511944899,2.555238805,-0.4496020691
83,0.5170799672,2.486513623,-0.4738243038
84,0.5966449731,2.592424474,-0.4550532344
85,0.7770681646,2.689401793,-0.5167057218
86,0.842091361,2.593184991,-0.5522508103
87,0.4389911858,2.420884713,-0.4552858785
88,0.5779648898,2.347696812,-0.5022707952
89,0.3923841104,2.570747612,-0.4267058063
90,0.7113774892,2.384304507,-0.5212565578
91,0.4909989462,2.567927501,-0.455650257
92,0.6709749602,2.582627294,-0.5006553267
93,0.7024723691,2.679852405,-0.5454746832
94,0.6110042747,2.279368022,-0.5539261711
95,0.6499417196,2.292299886,-0.5229276275
96,0.5245598996,2.442998015,-0.4604241131
97,0.5828797512,2.581507977,-0.4727559139
98,0.696456422,2.328534242,-0.5406408211
99,0.4482045256,2.398183888,-0.4537318229
100,0.6045993982,2.302073117,-0.5255814394
101,0.5438123605,2.512856231,-0.4904498522
102,0.641184203,2.783759457,-0.4864334774
103,0.4872899101,2.631415765,-0.4628913463
104,0.7282939573,2.509568975,-0.5524667665
105,0.6266580491,2.694258034,-0.4966378475
106,0.5999242495,2.459779286,-0.5127444412
107,0.4743458956,2.62973289,-0.4546130256
108,0.8011884285,2.535875249,-0.5459563147
109,0.6719108439,2.530156991,-0.5383234122
110,0.4469243702,2.589609152,-0.4270519484
111,0.4144795319,2.599284852,-0.4316763471
112,0.651086826,2.719281024,-0.5172604112
113,0.5611219741,2.489953853,-0.4957788609
114,0.4321181596,2.724981884,-0.4417402014
115,0.7291336941,2.660687228,-0.5193555797
116,0.6438904813,2.422253774,-0.5066771578
117,0.7100267339,2.596764534,-0.5308210205
118,0.5754566442,2.576141019,-0.4741368674
119,0.6516048566,2.505375993,-0.5172444482
120,0.6500298871,2.479466103,-0.5476232477
121,0.5444212605,2.566981597,-0.4749009085
122,0.7212662234,2.528130023,-0.5321090364
123,0.5103400661,2.615500831,-0.4822327202
124,0.7748978901,2.514296862,-0.5496070984
125,0.8055637075,2.514965187,-0.5517991593
126,0.6352384779,2.087651343,-0.543651349
127,0.7133660709,2.579328427,-0.5399583685
128,0.6994153922,2.66683159,-0.5261485479
129,0.7501362225,2.459606181,-0.5498853049
130,0.6052403411,2.55478587,-0.4958150851
131,0.4837676429,2.385798483,-0.4728778509
132,0.4998864266,2.238994179,-0.5027749827
133,0.6275452066,2.577506987,-0.523489876
134,0.4642565044,2.213622712,-0.4558911191
135,0.3731338628,2.461934427,-0.3998407123
136,0.7782697964,2.626738016,-0.5572544939
137,0.4335118007,2.660424197,-0.4442784961
138,0.4287217933,2.592939101,-0.4245201198
139,0.6489636977,2.561889609,-0.5200007469
140,0.4770211547,2.725690061,-0.4377354689
141,0.5994289295,2.59116628,-0.4946017148
142,0.6596362226,2.634267333,-0.5247996955
143,0.7327195161,2.543672676,-0.5285565074
144,0.352350169,2.185839509,-0.4010237132
145,0.5008853754,2.571886143,-0.4560847369
146,0.5827993377,2.744299414,-0.483645256
147,0.5143899219,2.608124235,-0.4766203826
148,0.6128727171,2.612320404,-0.5029693747
149,0.4378949505,2.645611724,-0.4334133072
150,0.3241766074,2.599830634,-0.3677603839
151,0.4571153323,2.580113244,-0.4580825934
152,0.732816508,2.406394877,-0.5382468619
153,0.663488039,2.408608413,-0.5335572077
154,0.6250323627,2.318823747,-0.5165118906
155,0.6288355204,2.348585021,-0.5211708334
156,0.8208450864,2.557902173,-0.5337369279
157,0.5678732194,2.563755952,-0.4981076294
158,0.5970335524,2.530260132,-0.4934833887
159,0.5074689346,2.668188102,-0.4811984096
160,0.5179699505,2.552430122,-0.4550570476
161,0.5458624931,2.345932204,-0.4979382695
162,0.6119568772,2.393301368,-0.5272413942
163,0.3475648154,2.576702931,-0.3834272069
164,0.4602155765,2.213824916,-0.4586565502
165,0.6311249127,2.529676366,-0.5279180301
166,0.5294931192,2.33533931,-0.4686897113
167,0.7156199477,2.784915317,-0.5250685208
168,0.5971339778,2.478090149,-0.4730598102
169,0.5842502144,2.550612333,-0.4842926175
170,0.7203828575,2.363259666,-0.5587894297
171,0.765908401,2.58750629,-0.544816005
172,0.33312071,2.432118532,-0.3784426263
173,0.4750026367,2.758723964,-0.450898171
174,0.6952393591,2.464603214,-0.5411315826
175,0.7193360257,2.483325194,-0.5276537662
176,0.5219273693,2.456910813,-0.4886893864
177,0.5532618042,2.624606285,-0.4855240809
178,0.6710518845,2.583113212,-0.5260602576
179,0.3862619149,2.404755344,-0.4502975359
180,0.6380178135,2.454184276,-0.5402998561
181,0.7015614077,2.756410314,-0.5189430541
182,0.4342909304,2.631229919,-0.4170094994
183,0.6034473588,2.30643988,-0.5168306371
184,0.5953056902,2.531083318,-0.5054610974
185,0.5402119761,2.343918735,-0.4945397493
186,0.608513615,2.296387857,-0.5052006523
187,0.7127696485,2.547747598,-0.5408464047
188,0.4448392301,2.430905738,-0.4741737936
189,0.3378390041,2.49244989,-0.3844863757
190,0.5312353145,2.471658157,-0.4999161118
191,0.7997556689,2.628578099,-0.5341141638
192,0.5968515541,2.450078721,-0.5184985114
193,0.666291732,2.323690835,-0.5394701874
194,0.7920307264,2.49037048,-0.5511231059
195,0.6893856426,2.441732422,-0.5436131654
196,0.7111210998,2.50308175,-0.5404042195
197,0.3996262544,2.464668153,-0.4123869109
198,0.6252466229,2.475262349,-0.5036536213
199,0.8210743815,2.593681497,-0.5446965517
200,0.827773641,2.685101529,-0.5462373579
201,0.6098704635,2.41155215,-0.5219241072
202,0.781104801,2.661939703,-0.5321065046
203,0.5011106128,2.571492911,-0.4678209132
204,0.4661695465,2.282828475,-0.4647819961
205,0.7085686537,2.548693894,-0.5191886695
206,0.5696659251,2.466931747,-0.5067828423
207,0.551641298,2.557916754,-0.4766819493
208,0.4316153563,2.132334776,-0.4660930671
209,0.5073747679,2.246722819,-0.4701717129
210,0.4856225837,2.784329775,-0.4621100471
211,0.7178011119,2.455020615,-0.5314637794
212,0.7449998372,2.609746107,-0.5298369742
213,0.4803235195,2.387333956,-0.4943335583
214,0.4120413167,2.437896006,-0.4403793611
215,0.5128326892,2.375359517,-0.4925618804
216,0.6084239143,2.642190668,-0.4815212764
217,0.8039644516,2.532646138,-0.5445123103
218,0.4774020019,2.597145636,-0.4388554244
219,0.6486949169,2.484331863,-0.5366375427
220,0.3132687475,2.447544249,-0.3729476217
221,0.8264497373,2.47599368,-0.5479954475
222,0.4302531885,2.522765142,-0.448156917
223,0.6328120443,2.768817381,-0.5121678187
224,0.5838786237,2.379898178,-0.5282277034
225,0.5603387049,2.469771678,-0.5324545451
226,0.7209102213,2.750216322,-0.5255248356
227,0.4917194922,2.66438971,-0.4558970823
228,0.7080427593,2.498849881,-0.530296592
229,0.8697716349,2.57036869,-0.5496645862
230,0.7557060263,2.506651033,-0.5443236744
231,0.485924366,2.307648191,-0.4823836436
232,0.4654452705,2.388054564,-0.463196057
233,0.6365990445,2.585019616,-0.5037722376
234,0.8143842137,2.487606123,-0.5589411262
235,0.4812351106,2.39136611,-0.4755632836
236,0.3753615185,2.436347332,-0.4126144446
237,0.449574728,2.693977159,-0.4385781432
238,0.7272467906,2.476252596,-0.5449528469
239,0.5929294487,2.31388044,-0.4967551476
240,0.7339021546,2.350104123,-0.5474610288
241,0.6467107205,2.203211116,-0.5378681343
242,0.6526273447,2.466196352,-0.5398379553
243,0.5773857242,2.618903829,-0.5018472728
244,0.4407865008,2.516205752,-0.4232835069
245,0.6874779976,2.744067301,-0.5095300579
246,0.714056202,2.644519484,-0.5239778373
247,0.4358334306,2.490477472,-0.4334227983
248,0.4681783184,2.65129855,-0.4478380589
249,0.6049164288,2.292985923,-0.4791713952
250,0.812230538,2.604957411,-0.5478973869
251,0.4453310806,2.238705114,-0.4630632067
252,0.8115349543,2.476408805,-0.5559792917
253,0.553382977,2.409903529,-0.4935133756
254,0.7460110445,2.558448693,-0.5290659797
255,0.7913480881,2.478121835,-0.5433960311
256,0.5194375017,2.579079806,-0.4746327951
257,0.6735176035,2.59072464,-0.5351087891
258,0.7102455854,2.553940159,-0.5486021137
259,0.6689514175,2.331341179,-0.5230004433
260,0.6920449292,2.461887087,-0.5340613198
261,0.6316767174,2.64074319,-0.5193109228
262,0.5290769272,2.607423427,-0.4878001929
263,0.7096890543,2.498576987,-0.5393486349
264,0.5446607435,2.418236476,-0.4921665986
265,0.424652038,2.490618404,-0.43293888
266,0.6526851342,2.530405851,-0.5462176732
267,0.47339858,2.47435338,-0.4572717212
268,0.6143256575,2.78784028,-0.4959779266
269,0.6505321001,2.593226499,-0.5305494935
270,0.505535046,2.686234184,-0.4768714485
271,0.648133062,2.531209867,-0.5219360287
272,0.4679278005,2.686324195,-0.4631332472
