"iteration","BBrand_2_class1","BBrand_3_class1","Bfeature_class1","Bprice*scale_class1","Bnone_class1","BBrand_2_class2","BBrand_3_class2","Bfeature_class2","Bprice*scale_class2","Bnone_class2","delta2"
5001,2.194944289,-3.143175115,0.4557251322,0.3432895585,-1.028104689,0.03397726099,0.7715740538,0.1216914963,-1.131381282,3.329343462,1.082944678
5002,2.215222398,-3.126074936,0.4594285294,0.3290901117,-1.029175976,0.04575377878,0.7645547147,0.1091351144,-1.124141613,3.307899947,1.084554317
5003,2.208793601,-3.108418125,0.4410675276,0.3493668173,-1.026176211,0.02773920186,0.7915840829,0.09357583692,-1.153079371,3.323213663,1.086248501
5004,2.235022684,-3.097575888,0.4495148246,0.3464865022,-1.024546735,0.04228398173,0.7671264391,0.1016341644,-1.148460607,3.35086248,1.113594215
5005,2.206795355,-3.088293632,0.4636640379,0.359288625,-1.027671545,0.03999719808,0.7575765957,0.0869652523,-1.173203009,3.371797582,1.080850725
5006,2.198918876,-3.081479794,0.4540906009,0.3812621215,-1.029587342,0.04437222208,0.7660688472,0.07617950945,-1.127432697,3.370014847,1.097496681
5007,2.19412381,-3.039470835,0.4468525838,0.3524568908,-1.041815499,0.03540142662,0.7627058816,0.07333872322,-1.119090176,3.393404182,1.098061585
5008,2.20501187,-3.008263496,0.4486669414,0.3603479296,-1.021678071,0.02257273823,0.7711995851,0.09135959594,-1.139356973,3.414792267,1.109678964
5009,2.220758586,-3.005160518,0.4490520559,0.3642211848,-1.019798108,0.02903748125,0.7590489913,0.1003465757,-1.14146449,3.420007507,1.125743844
5010,2.220758586,-3.005160518,0.4490520559,0.3642211848,-1.019798108,0.02903748125,0.7590489913,0.1003465757,-1.14146449,3.420007507,1.125743844
5011,2.214372363,-3.02903615,0.4303668839,0.3617967386,-0.9955971883,0.02086431437,0.7555459122,0.08443885935,-1.127002612,3.393962348,1.139704692
5012,2.239793254,-3.030516168,0.4036158589,0.3756708364,-0.9638443428,0.05162524671,0.719848757,0.08312760446,-1.142188871,3.37959643,1.132671146
5013,2.239793254,-3.030516168,0.4036158589,0.3756708364,-0.9638443428,0.05162524671,0.719848757,0.08312760446,-1.142188871,3.37959643,1.132671146
5014,2.221125728,-3.04935944,0.4160184416,0.352834495,-0.992827422,0.0602354314,0.6974901327,0.09366918637,-1.159206925,3.405758564,1.13251455
5015,2.223856808,-3.028512892,0.3839985469,0.3707624419,-0.9804192241,0.07454856058,0.7331379207,0.09860301687,-1.187642543,3.400606866,1.145267528
5016,2.223856808,-3.028512892,0.3839985469,0.3707624419,-0.9804192241,0.07454856058,0.7331379207,0.09860301687,-1.187642543,3.400606866,1.145267528
5017,2.223856808,-3.028512892,0.3839985469,0.3707624419,-0.9804192241,0.07454856058,0.7331379207,0.09860301687,-1.187642543,3.400606866,1.145267528
5018,2.223856808,-3.028512892,0.3839985469,0.3707624419,-0.9804192241,0.07454856058,0.7331379207,0.09860301687,-1.187642543,3.400606866,1.145267528
5019,2.223856808,-3.028512892,0.3839985469,0.3707624419,-0.9804192241,0.07454856058,0.7331379207,0.09860301687,-1.187642543,3.400606866,1.145267528
5020,2.231169307,-3.041092763,0.3864725872,0.3794097213,-0.9760002077,0.06873839602,0.7423007953,0.1031928441,-1.192689495,3.383432229,1.15951456
5021,2.231169307,-3.041092763,0.3864725872,0.3794097213,-0.9760002077,0.06873839602,0.7423007953,0.1031928441,-1.192689495,3.383432229,1.15951456
5022,2.229386129,-3.048573227,0.3896555664,0.3861521042,-0.9946920094,0.05351028956,0.7051381234,0.1047369686,-1.185147051,3.378031368,1.15710892
5023,2.227701808,-3.051181274,0.3926703078,0.3892838564,-0.9885689325,0.04800638106,0.7070651302,0.1028818595,-1.188902152,3.37274077,1.137702892
5024,2.194627469,-3.070909421,0.3965875767,0.404360681,-0.9607056917,0.04908258377,0.7225988227,0.109390279,-1.19378548,3.368246302,1.183474384
5025,2.194627469,-3.070909421,0.3965875767,0.404360681,-0.9607056917,0.04908258377,0.7225988227,0.109390279,-1.19378548,3.368246302,1.183474384
