"Respondent","ASC1","BTime","BCost"
8738,0.8889856303,0.1770661191,0.4094334224
8740,0.8122923857,0.1814528593,0.3822024623
8741,0.8448476463,0.2136164848,0.4115295311
8742,0.8571144495,0.1822157833,0.3928114849
8744,0.8363436553,0.176910528,0.4429657079
8745,0.8054244858,0.1860446873,0.418604933
8746,0.9193097576,0.1957460784,0.4166882682
8750,0.8186816274,0.1527309017,0.4125438747
8751,0.9125544941,0.1599111355,0.3541673462
8752,0.9373773827,0.1831885135,0.4121087928
8755,0.8957467706,0.1643418064,0.3946228241
8759,0.9504856183,0.1874043114,0.3993750057
8762,0.8963993874,0.2006980564,0.4166836523
8763,0.9002704902,0.1314068763,0.3977367003
8766,0.8205368496,0.1804689376,0.4035697008
8771,0.8270038189,0.1355826292,0.3270707932
8774,0.8434788403,0.1782121927,0.4031867506
8775,0.9019894733,0.2190987066,0.4046025951
8778,0.9166833617,0.1858065663,0.4010988905
8779,0.8176870773,0.1585810106,0.3961635085
8780,0.8162169596,0.1873615816,0.3964084984
8787,0.8865444232,0.2176642204,0.403986756
8800,0.9069326516,0.1088179097,0.373301405
8804,0.8780896326,0.1304679063,0.3917834119
8806,0.8836838118,0.1435738605,0.3985362726
8808,0.8485973256,0.1711742479,0.3887246124
8814,0.8698630119,0.2011721281,0.4081794478
8815,0.7765165147,0.1077053036,0.3789614838
8816,0.8960722719,0.1792816247,0.382664964
8826,0.8181053836,0.1733133486,0.3826215086
8829,0.768796628,0.1006096519,0.3244772955
8830,0.8293623481,0.1797255485,0.4021604032
8831,0.9276007862,0.1834869002,0.4034721866
8836,0.8668891437,0.1613808829,0.3902090979
8838,0.8596715771,0.1788452984,0.4080413206
8841,0.8593753304,0.1955236157,0.4325394535
8844,0.8431334666,0.1798552297,0.3744436701
8852,0.8357865627,0.2177428447,0.4144099436
8854,0.8989348906,0.2176250889,0.404726579
8855,0.8627135284,0.2036979229,0.4175437656
8856,0.9025830762,0.1467533986,0.3843442529
8858,0.835931884,0.2068056804,0.4237415652
8864,0.8016609713,0.09736919052,0.3694492232
8866,0.8344695533,0.1777110363,0.4043792457
8867,0.8873247373,0.08603054388,0.3375794988
8868,0.7956471534,0.1957026763,0.3206945556
8873,0.9060169563,0.1864251731,0.4177957592
8877,0.8239041555,0.1941627473,0.4082553988
8879,0.8735785048,0.1308754303,0.4075868387
8890,0.8377763593,0.1925577932,0.4126281934
